Topic,Yield Score,Verdict,Is Tagged?,Years Found,Key Fact
Hans Robert Jauss 19211997 Reception Theory and the Horizon of Expectation,10,✅ HIGH YIELD,YES,,"Hans Robert Jauss, a German academic and central figure in reception theory, sought to place the reader at the heart of literary history. Drawing on Hans-Georg Gadamer’s hermeneutics, Jauss developed an approach that treated literature as a dynamic dialogue between text and audience across time. His reception theory applies reader-response principles historically, analyzing how interpretive and evaluative responses evolve across generations. Central to this is his concept of the horizon of expectation , which refers to the set of cultural norms, literary conventions, and historical experiences shaping a reader’s perception at a given time. Jauss argued that a literary work is not a fixed, timeless object presenting the same meaning to every reader, but rather an entity whose significance changes with shifting horizons. This approach sought to bridge the gap between literary studies and history, showing how reader reception contributes to the evolving life of a text and the construction of literary history itself."
Wolfgang Iser 19262007 ReaderResponse Criticism and the Implied Reader,10,✅ HIGH YIELD,YES,,"Wolfgang Iser, a German literary scholar and co-founder of the Constance School of reception theory with Hans Robert Jauss, is a key figure in reader-response criticism. He argued that a literary work exists in the interaction between the written text and the reader’s act of reading, rather than as a fixed object. In The Implied Reader (1974) , Iser introduced the concept of the “implied reader,” a hypothetical construct embodying the reading competencies and interpretive strategies that a text presupposes. He identified four main perspectives shaping this engagement: the narrator, the characters, the plot, and the fictitious or implied reader. His later work, The Act of Reading (1978) , provided a systematic framework for examining how texts function as communicative acts within specific cultural contexts. For Iser, texts are structured with “gaps” or “blanks” that readers must actively fill, making interpretation a dynamic process. This model emphasizes that while the reader participates creatively, the text still guides and constrains meaning, ensuring that the reading experience remains anchored in the work’s design."
Harold Bloom 19302019 Canon Influence and Romantic Vision,10,✅ HIGH YIELD,YES,,"Bloom was a central figure in the 1979 volume Deconstruction and Criticism, co-authored with Paul de Man, Jacques Derrida, Geoffrey Hartman, and J. Hillis Miller, which helped introduce deconstruction to a broader Anglo-American audience. His own works, such as Poetry and Repression, explored how poets respond to and wrestle with their literary precursors—a concept central to his “anxiety of influence” theory . The Brief Compass demonstrated his gift for guiding readers through the history, language, and social role of poetry, offering nuanced readings of both canonical and lesser-known poets. In The Visionary Company , Bloom argued that the major Romantic poets—Blake, Wordsworth, Coleridge, Shelley, and Keats—formed a unified imaginative tradition, marked by visionary symbolism and deep engagement with their cultural moment. His criticism combined erudition, passionate advocacy for the Western canon, and a lifelong defense of aesthetic value against what he saw as purely political or relativistic approaches to literature."
Sigmund Freud 18561939 Founder of Psychoanalysis,10,✅ HIGH YIELD,YES,,"Sigmund Freud, an Austrian neurologist and the founder of psychoanalysis, was born on 6 May 1856 in Freiberg, Moravia, to a Jewish merchant family that later moved to Leipzig and settled in Vienna, where he received his education. Beginning his medical studies at the University of Vienna in 1873, Freud worked at the Vienna General Hospital and, in collaboration with Josef Breuer, treated hysteria by hypnotizing patients to recall painful experiences. In 1885, he studied under the eminent neurologist Jean Charcot in Paris before returning to Vienna to specialize in nervous and brain disorders. Married to Martha Bernays, with whom he had six children, Freud developed the revolutionary concept of the unconscious, positing that hidden motives, repressed desires, and unconscious psychological forces shape human behaviour. His seminal work The Interpretation of Dreams (1900)  analyzed dreams as expressions of unconscious desire and experience. Appointed Professor of Neuropathology at the University of Vienna in 1902, Freud played a pivotal role in establishing psychoanalytic criticism as a method for interpreting literature, history, art, and anthropology. Carl Gustav Jung, initially a close associate, became president of the International Psychoanalytic Association in 1910 but later diverged from Freud’s theories. After World War I, Freud expanded his ideas to explore civilization’s origins and structures, suggesting in works like Civilization and Its Discontents (1930)  that civilization is both the product and constraint of human psychology, perpetually balancing individual desires with societal expectations. In The Ego and the Id (1923) , he proposed a tripartite model of the mind comprising the id, ego, and superego, and in his 1921 work on group psychology, he examined the interplay between individual identity and collective belonging. His concept of the “Uncanny” (Das Unheimliche) described the unsettling experience of encountering something simultaneously familiar and alien, often rooted in repressed fears. Freud argued that literature and the arts manifest the subconscious drives of their creators, with creative expression serving as both an escape from neurosis and a reflection of the universal pursuit of happiness. Diagnosed with jaw cancer in his later years, Freud continued to write and theorize until his death on 23 September 1939, leaving behind a profound legacy that reshaped the study of the mind and culture."
Psychoanalyst,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Repression,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Carl Jung 18751961,10,✅ HIGH YIELD,YES,,"Carl Jung was a Swiss psychologist and psychiatrist who founded analytic psychology as a response to Sigmund Freud’s psychoanalysis. His works profoundly influenced psychiatry, religion, literature, and various fields of cultural study. Initially a close collaborator of Freud, Jung maintained a lengthy correspondence with him, during which they shaped a joint vision of human psychology before parting ways over theoretical differences. Jung emphasized that the primary task of human development was the individuation process—the integration of the conscious and unconscious aspects of the psyche. He introduced some of the most influential psychological concepts, including"
Collective Unconscious,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Archetype,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Electra Complex,10,✅ HIGH YIELD,YES,,"The Electra Complex , introduced by Carl Jung in his Theory of Psychoanalysis, describes a stage in a girl’s psychosexual development characterized by psychological competition with her mother for possession of her father’s affection. Occurring during the phallic stage of development (ages 3–6), it parallels the Oedipus complex in boys. Within the framework of classical psychoanalysis, the Electra Complex is one of five stages of psychosexual growth—"
Jacques Lacan 19011981,10,✅ HIGH YIELD,YES,,"Jacques Lacan (1901–1981) was a French psychoanalyst and psychiatrist, often described as “the most controversial psychoanalyst since Freud,” whose work profoundly influenced post-structuralism, critical theory, feminist theory, film theory, and the practice of psychoanalysis itself. A central figure in twentieth-century continental philosophy, Lacan is best known for reinterpreting Freud through the lens of structural linguistics, with his collected papers and lectures published in the landmark text Écrits (1966) . He famously coined the term “The Name of the Father”  and asserted that desire—always linked to unconscious desire—is the central concern of psychoanalysis, which aims to lead the analysand to recognize and uncover the truth about their desire. Radically critical of existing psychoanalytic orthodoxy, Lacan was expelled from the International Psychoanalytical Association in 1959, after which he founded a new psychoanalytic institution as part of his “return to Freud” . He introduced language study, as practised in modern linguistics, philosophy, and poetics, into psychoanalytic theory, arguing that language is a primary constituent of the unconscious. Known for his unorthodox and often eccentric therapeutic methods, Lacan delivered annual seminars in Paris from 1953 until his death in 1981, refining concepts such as the Mirror Stage, which describes the false perception of self in the mirror and forms part of one of the three registers—the Imaginary, the Symbolic, and the Real—through which humans perceive the world. According to Hoens and Puth (2004), these phases define his intellectual trajectory : the Imaginary (1936–1953) , focusing on identification and the ‘imago’ as central to psychical development; the Symbolic (1953–1963) , emphasizing language, law, and social structures; and the Real (1963–1981) , concerned with what lies beyond symbolization and representation. Lacan’s legacy remains central to psychoanalytic discourse, blending clinical innovation with far-reaching cultural and philosophical influence."
The Symbolic Order,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Oscar Wilde,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Above the staggering girl her thighs caressed Asked in Exam,10,✅ HIGH YIELD,YES,,"Above the staggering girl, her thighs caressed"
By the dark webs her nape caught in his bill Asked in Exam,10,✅ HIGH YIELD,YES,,"By the dark webs, her nape caught in his bill,"
A shudder in the loins engenders there Asked in Exam,10,✅ HIGH YIELD,YES,,A shudder in the loins engenders there
The broken wall the burning roof and tower Asked in Exam,10,✅ HIGH YIELD,YES,,"The broken wall, the burning roof and tower"
And Agamemnon dead Asked in Exam,10,✅ HIGH YIELD,YES,,And Agamemnon dead.
The purpose of art is to tell beautiful untrue things Asked in Exam,10,✅ HIGH YIELD,YES,,“The purpose of art is to tell beautiful untrue things.”
The Wanderings of Oisin Asked in Exam,10,✅ HIGH YIELD,YES,,The Wanderings of Oisin
THE AGE OF PROSE,10,✅ HIGH YIELD,YES,,Poetry seen as “rhymed prose…differing from prose…”
PERIODICAL WRITING,10,✅ HIGH YIELD,YES,,Examiners and Guardians shaped political debate.
NEW PUBLISHING HOUSES,10,✅ HIGH YIELD,YES,,Hack-writers lived in poor Grub Street.
Poetry in the Age of Classicism,10,✅ HIGH YIELD,YES,,Satire triumphed; Pope’s Dunciad .
Satiric Poetry,10,✅ HIGH YIELD,YES,,Pope’s Dunciad is supreme satire .
Famous Arguments in An Apologie for Poetrie The Defence of Poetrys Power,10,✅ HIGH YIELD,YES,,"“having slipped into the title of a poet, [I] am provoked to say something unto you in the defense of that my unelected vocation.”"
Richard Hooker 15541600,10,✅ HIGH YIELD,YES,,Famous for Ecclesiastical Polity.
Mikhail Bakhtin,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
SHIFT I,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
William Congreve,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Drama in Classicism,10,✅ HIGH YIELD,YES,,Gay’s The Beggar’s Opera stands out .
John Crowne 16401703,10,✅ HIGH YIELD,YES,,Tragedy Thyestes in blank verse .
Poet describes storm as a howling force surrounding him Asked in Exam,10,✅ HIGH YIELD,YES,,"Poet describes ""storm"" as a ""howling"" force surrounding him."
Newborn daughter sleeps halfhidden in her cradle Asked in Exam,10,✅ HIGH YIELD,YES,,"Newborn daughter sleeps ""half-hidden"" in her cradle."
Sailing to Byzantium Asked in Exam,10,✅ HIGH YIELD,YES,,"""Sailing to Byzantium,"""
Leda birthed Helen and Clytemnestra after Zeuss assault,10,✅ HIGH YIELD,YES,,A sudden blow: the great wings beating still
Heart of Darkness serialized in Blackwoods Magazine Asked in Exam,10,✅ HIGH YIELD,YES,,Heart of Darkness serialized in Blackwood’s Magazine.
2009 version titled The NWord of the Narcissus Asked in Exam,10,✅ HIGH YIELD,YES,,2009 version titled The N-Word of the Narcissus.
Heart of Darkness uses a thirdperson narrative framework Asked in Exam,10,✅ HIGH YIELD,YES,,Heart of Darkness uses a third-person narrative framework.
Congo Free State ruled by King Leopold II Asked in Exam,10,✅ HIGH YIELD,YES,,Congo Free State ruled by King Leopold II.
Kurtz has gone native central to Marlows mission,10,✅ HIGH YIELD,YES,,Plot Summary:
The horror The horror becomes an iconic phrase Asked in Exam,10,✅ HIGH YIELD,YES,,"""The horror! The horror!"" becomes an iconic phrase."
Exterminate all the brutes is in Kurtzs report Asked in Exam,10,✅ HIGH YIELD,YES,,"""Exterminate all the brutes!"" is in Kurtz's report."
Kurtz falls ill and Marlow tries to save him,10,✅ HIGH YIELD,YES,,"Kurtz dies, whispering, ""The horror! The horror!"""
Marlow questions the true nature of humanity,10,✅ HIGH YIELD,YES,,Lord Jim (1900)
So mastered by the brute blood of the air Asked in Exam,10,✅ HIGH YIELD,YES,,"So mastered by the brute blood of the air,"
Rise of urbanization influencing literary themes,10,✅ HIGH YIELD,YES,,Influence of Darwinism on literary worldviews.
Streamofconsciousness technique gains popularity Asked in Exam,10,✅ HIGH YIELD,YES,,Stream-of-consciousness technique gains popularity.
Joseph Conrad born on December 3 1857 in Ukraine,10,✅ HIGH YIELD,YES,,Only child of patriotic Polish parents.
Sea became primary theme in Conrads work,10,✅ HIGH YIELD,YES,,"Little ""romance"" in Conrad’s novels."
Sea background parallels heroes inner turmoil,10,✅ HIGH YIELD,YES,,"Said's academic journey began with the publication of ""Joseph Conrad and the Fiction of Autobiography"" (1966)."
Neoclassicism,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
John Aubrey 16261697,10,✅ HIGH YIELD,YES,,English antiquary and prolific biographical writer.
Thomas Turner 17291793,10,✅ HIGH YIELD,YES,,"English shopkeeper, also a diarist."
Choose the Correct answer from the options given below,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Poetry and drama,10,✅ HIGH YIELD,YES,,"Most of Milton’s prose was written during the middle period of his life (1640–60),"
Of Education 1644,10,✅ HIGH YIELD,YES,,"Published in 1644, outlining reform."
Max Horkheimer,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Theodor Adorno,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Walter Benjamin,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Jürgen Habermas,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Carol Bolt 19412000 Red Emma  Feminism Anarchism and Political Theatre,10,✅ HIGH YIELD,YES,,"Carol Bolt, a Canadian playwright and feminist, is best known for her play Red Emma , a dramatic portrayal of the life and political convictions of Emma Goldman, the renowned anarchist and feminist thinker. The play reflects Bolt’s engagement with feminist historiography, using theatre as a medium to recover the silenced voices of politically radical women. Red Emma explores themes of political activism, social justice, state repression, and personal freedom, tracing Goldman’s lifelong fight against authoritarianism and gender oppression. Through its structure and dialogue, the play not only dramatizes Goldman’s ideological struggles but also aligns with second-wave feminist theatre, which sought to challenge patriarchal narratives and foreground women’s historical agency. Bolt’s work remains significant for its blending of biographical realism and political critique, making Red Emma a notable contribution to feminist dramatic literature."
Psychoanalytic Feminism The Unconscious Roots of Gendered Oppression,10,✅ HIGH YIELD,YES,,"Psychoanalytic feminism examines the psychic structures that underpin gender oppression, arguing that patriarchal dominance is not only social or economic but deeply embedded in the unconscious. It stems from Freudian psychoanalysis, particularly the Oedipal Complex, which constructs femininity as a trajectory marked by lack, castration anxiety, and penis envy. However, second-wave feminists such as Simone de Beauvoir, Kate Millett, and Germaine Greer vigorously critiqued Freud for reinforcing gender hierarchies and naturalizing female inferiority. Millett, in particular, rejected Freudian theory for perpetuating patriarchal ideologies under the guise of scientific objectivity. Karen Horney, one of Freud’s earliest dissenters, challenged the notion of penis envy by proposing womb envy  and argued that female subjectivity was shaped by cultural subordination rather than biological deficiency. She insisted that feminine identity is not merely a reaction to male anatomy but is shaped through cultural repression and psychical negotiation. Juliet Mitchell, in her seminal work Psychoanalysis and Feminism (1974) , attempted a reconciliation of psychoanalysis with feminism, suggesting that Freud’s views, while patriarchal, accurately reflected the social realities of his time. Mitchell's project was not to defend Freud’s sexism but to use psychoanalysis as a critical tool to interrogate how patriarchal structures are internalized. Her work opened new pathways for feminist literary criticism, especially in understanding female subjectivity, repression, and narrative voice. She argued that the asymmetrical depiction of gender in psychoanalysis mirrors the distortions of a male-dominated culture and that uncovering these psychic operations is essential to feminist critique. Additionally, her lecture Femininity, Narrative and Psychoanalysis (1972) situated this inquiry within literary discourse, showing how psychoanalysis, literature, and feminism intersect in constructing and resisting femininity. Psychoanalytic feminism thus remains a powerful framework for understanding the deep psychic complicity in gendered oppression, drawing on figures like Freud, Lacan, Kristeva, and Mitchell to interrogate both texts and the unconscious."
William Wordsworth,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Samuel Taylor Coleridge,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Puck of Pooks Hill 1906 Asked in Exam,10,✅ HIGH YIELD,YES,,Puck of Pook's Hill (1906)
The Light that Failed 1891 Asked in Exam,10,✅ HIGH YIELD,YES,,The Light that Failed (1891)
First story failed in literary competition,10,✅ HIGH YIELD,YES,,Completed Almayer’s Folly at age thirty-seven.
Gunga Din  Asked in Exam,10,✅ HIGH YIELD,YES,,“Gunga Din” “
The Last Suttee 1889 Asked in Exam,10,✅ HIGH YIELD,YES,,The Last Suttee (1889)
Puck of Pooks Hill Asked in Exam,10,✅ HIGH YIELD,YES,,“Puck of Pook’s Hill”
The Days Work Asked in Exam,10,✅ HIGH YIELD,YES,,“The Day’s Work”
The Man Who Would Be King Asked in Exam,10,✅ HIGH YIELD,YES,,“The Man Who Would Be King”
The Phantom Rickshaw Asked in Exam,10,✅ HIGH YIELD,YES,,“The Phantom Rickshaw”
Lord Jim serialized in Blackwoods Magazine 18991900 Asked in Exam,10,✅ HIGH YIELD,YES,,Lord Jim serialized in Blackwood's Magazine (1899-1900).
In an instant he was a coward haunted by guilt Asked in Exam,10,✅ HIGH YIELD,YES,,"""In an instant, he was a coward,"" haunted by guilt."
Marlow a sea captain sympathizes with Jims torment,10,✅ HIGH YIELD,YES,,"Jim earns respect in Patusan as ""Lord Jim."""
The Secret Agent published by Joseph Conrad in 1907,10,✅ HIGH YIELD,YES,,"Set in London, 1886, follows Mr. Adolf Verloc."
Under Western Eyes 1911 by Joseph Conrad Asked in Exam,10,✅ HIGH YIELD,YES,,Under Western Eyes (1911) by Joseph Conrad.
Erich Fromm 19001980 Psychoanalysis and Social Character,10,✅ HIGH YIELD,YES,,"Erich Fromm was a German social psychologist, psychoanalyst, and member of the Frankfurt School who emigrated to the United States to escape Nazi persecution. Initially influenced by Freud, Fromm diverged from classical psychoanalysis by emphasizing the interplay between culture and biology in shaping personality. He critiqued Freud’s focus on unconscious drives, highlighting instead the decisive role of societal structures in human behavior. In Escape from Freedom (1941) , he traced the historical evolution of personal freedom and explored how modern insecurities drive individuals toward authoritarianism, exemplified by Nazism. In The Sane Society (1955), he argued that industrial capitalism fosters alienation, estranging individuals from their authentic selves. Fromm’s notable ideas—Being vs. Having as modes of existence, the tension between security and freedom, and the concept of social character—reflect his belief that mental health requires a balance between personal autonomy and meaningful connection within a just society."
Karen Horney 18851952 NeoFreudian Feminist Psychoanalysis,10,✅ HIGH YIELD,YES,,"Karen Horney was a German-born psychoanalyst who later practiced in the United States and became a central figure in developing feminist psychology. Challenging Freud’s theory of penis envy, she proposed womb envy , arguing that men often experience unconscious envy of women’s capacity to bear and nurture life, channeling this into achievement and societal dominance. As a neo-Freudian, Horney emphasized cultural and social factors—rather than purely biological drives—in shaping personality and gender differences. Her Theory of Neurosis  redefined neurosis as a recurring, situational response to life’s challenges, influenced by early childhood relationships and both conscious and unconscious processes. Rejecting Freud’s reduction of personality to sexual and aggressive instincts, she stressed the formative role of interpersonal relations, social expectations, and self-perception. Through her critique of patriarchal bias in psychoanalysis, Horney broadened the understanding of gender, laying the groundwork for modern feminist thought in psychology."
Wide Sargasso Sea 1966,10,✅ HIGH YIELD,YES,,"Gives voice to Bertha Mason, the “madwoman in the attic.”"
Simone de Beauvoir The Second Sex,10,✅ HIGH YIELD,YES,,“Literature is always ideologically charged.”
Ralph Josselin 16171683,10,✅ HIGH YIELD,YES,,English clergyman who kept a diary.
Brave New World,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Notable WorksPoems,10,✅ HIGH YIELD,YES,,"Poems often s include Thrushes, Wodwo, and Lupercal."
William Wycherley Restoration Satirist 16411716,10,✅ HIGH YIELD,YES,,Love in a Wood (1672) debut .
Comedies,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Tragedies,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Choose the correct answer from the options given,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Dramatic works,10,✅ HIGH YIELD,YES,,"En attendant Godot (published 1952, performed 1953) (Waiting for Godot, pub. 1954, perf. 1955)"
W E B Du Bois The Souls of Black Folk 1903,10,✅ HIGH YIELD,YES,,"The Souls of Black Folk (1903)  by W. E. B. Du Bois is a foundational text in African-American literature and sociological thought, blending personal narrative, political critique, and cultural history. Comprising a series of essays, many of which were previously published in The Atlantic Monthly, Du Bois articulates the concept of “double consciousness,” a psychological condition in which African Americans experience an internal conflict between their African heritage and their American citizenship. The book critiques the failures of Reconstruction and the enduring impact of systemic racism, while also offering a rich literary and spiritual vision for black identity and resistance. Combining lyrical prose, historical insight, and empirical observation, Du Bois’s work continues to influence scholarship in race studies, political theory, and cultural criticism."
Catherine Belsey The Subject of Tragedy 1985,10,✅ HIGH YIELD,YES,,"Catherine Belsey’s The Subject of Tragedy (1985)  presents a critical re-evaluation of English Renaissance drama, particularly the plays of the sixteenth and seventeenth centuries, through the lens of poststructuralist and feminist theory. She challenges traditional humanist interpretations by arguing that tragedy serves as a site for negotiating conflicting ideologies of gender, subjectivity, and power. Drawing on Althusserian theory and Lacanian psychoanalysis, Belsey analyses the tragic form as a cultural mechanism that both constructs and questions the coherence of the male subject while marginalizing or silencing the female voice. The book offers close readings of canonical dramatists such as Shakespeare and Marlowe, emphasizing how their works engage with issues of political authority, personal identity, and symbolic representation. The Subject of Tragedy remains a pivotal text in literary theory and gender studies, reshaping critical approaches to early modern drama."
Captains Courageous 1896 Asked in Exam,10,✅ HIGH YIELD,YES,,Captains Courageous (1896)
Kim 1901 Asked in Exam,10,✅ HIGH YIELD,YES,,Kim (1901)
BarrackRoom Ballads 1890 Asked in Exam,10,✅ HIGH YIELD,YES,,Barrack-Room Ballads (1890)
The Five Nations 1903 Asked in Exam,10,✅ HIGH YIELD,YES,,The Five Nations (1903)
Baa Baa Black Sheep Asked in Exam,10,✅ HIGH YIELD,YES,,"“Baa Baa, Black Sheep”"
BarrackRoom Ballads Asked in Exam,10,✅ HIGH YIELD,YES,,“Barrack-Room Ballads”
Captains Courageous Asked in Exam,10,✅ HIGH YIELD,YES,,“Captains Courageous”
Ars Poetica 19 BC The Art of Poetry,10,✅ HIGH YIELD,YES,,"Horace’s critical reputation rests chiefly on Ars Poetica (The Art of Poetry), also known as the Epistula ad Pisones. “Ars Poetica,” or “The Art of Poetry” (19 B.C.) . Written in hexameter verse as a poetic epistle addressed to the Piso family, the work blends literary theory with practical advice for aspiring poets. At its core, Horace insists that a poem must achieve unity through harmony, proportion, suitable subject matter, and appropriate diction. Meter and style, he maintains, should always correspond to the theme and the characters represented. He urges poets to look to antiquity for models, famously declaring: “A good model will always be found in Homer” ."
The Divine Comedy 13081320 A Journey of the Soul,10,✅ HIGH YIELD,YES,,"Dante’s masterpiece, La Commedia, later called The Divine Comedy, was begun in 1308 and completed in 1320, just before his death. It follows Dante’s journey through Hell (Inferno), Purgatory (Purgatorio), and Paradise (Paradiso) . The epic is both an allegory of the soul’s path to salvation and a vast poetic vision of Christian cosmology. Dante is guided first by the Roman poet Virgil, representing reason, and later by Beatrice, symbolizing divine grace and love. The poem combines personal confession with philosophical and moral judgments, mapping the ascent from sin and confusion to ultimate union with God."
Thomas Hardy 18401928 wrote significant war poems,10,✅ HIGH YIELD,YES,,Poems relate to Napoleonic Wars and Boer Wars.
Wessex Poems 1898 reflect Napoleonic Wars impact,10,✅ HIGH YIELD,YES,,The Dynasts (1904–08) focuses on Napoleonic War.
Robert Southey,10,✅ HIGH YIELD,NO,"2024, 2025",Found in question papers.
Phallocentrism and Psychoanalytic Critique From Jones to Derrida,10,✅ HIGH YIELD,YES,,"Ernest Jones (1879–1958), a pioneering Welsh psychoanalyst and close associate of Sigmund Freud, played a central role in the dissemination of psychoanalysis in the English-speaking world. Notably, Jones was the first to apply psychoanalysis in English and remained its principal advocate throughout the early twentieth century. In 1927, Jones coined the term phallocentrism  during his exchanges with Freud, critiquing the analytic overemphasis on the male sexual organ as the symbolic core of identity formation and cultural structure. He warned that ""men analysts have been led to adopt an unduly phallocentric view,"" highlighting the limitations of a male-centered interpretation of human development. The concept was further theorized by Jacques Lacan in his seminal essay The Signification of the Phallus (1958/65), where he redefined the phallus not as an anatomical or imaginary object but as a signifier—a symbolic locus within language that mediates desire and meaning. Lacan asserted that the phallus represents the effects of the signified as a whole and governs entry into the Symbolic Order, thereby linking psychoanalysis with structuralist linguistics. However, Jacques Derrida, in his deconstructive critique of psychoanalysis, rejected Lacan’s model as inherently phallocentric, accusing it of reinstating the phallus as the center of meaning and male subjectivity. Derrida’s intervention, influential in second-wave feminist theory, exposed how psychoanalytic and philosophical discourse privileged a masculine symbolic order that marginalized female agency and voice. Feminist theorists such as Luce Irigaray and Hélène Cixous subsequently challenged this symbolic economy, calling for a feminine language and identity beyond the logic of the phallus. Thus, from Jones’s early critique to Derrida’s deconstruction, the debate around phallocentrism remains pivotal in feminist psychoanalytic theory, especially in examining the linguistic, cultural, and literary structures that perpetuate male dominance."
Hélène Cixous b 1937 Écriture Féminine and the Feminine Body in Language,10,✅ HIGH YIELD,YES,,"Hélène Cixous, a distinguished French feminist, literary critic, and professor, is widely recognized as a foundational figure in poststructuralist feminist theory alongside Julia Kristeva and Luce Irigaray. Deeply influenced by thinkers such as Jacques Derrida, Sigmund Freud, and Jacques Lacan, Cixous developed a radical theoretical framework that interrogates the patriarchal construction of language and authorship. Her landmark essay The Laugh of the Medusa (1975)  urges women to reclaim their bodies and voices through writing, asserting that “writing is for you, you are for you; your body is yours, take it.”  Central to her argument is the notion of écriture feminine —a feminine mode of writing that subverts traditional masculine logic and expression. This writing, often symbolized as ""white ink"" , becomes a metaphor for women's bodily knowledge and maternal energy, enabling an authentic articulation of female subjectivity. Cixous critiques the ""Logic of Antilove"" , a system of internalized misogyny that fosters self-hatred in women and alienates them from their own bodies and desires. She argues that patriarchal culture has imposed an anti-narcissistic framework upon women—teaching them to love only what they lack, namely, male power and attributes. Through her poetic, non-linear, and intertextual prose, Cixous dismantles binaries of male/female and mind/body, instead advocating a form of expression rooted in affect, embodiment, and multiplicity. By emphasizing the inseparability of the female body and female authorship , Cixous positions literature as a revolutionary space where women can resist symbolic erasure and inscribe their own narratives of power, pleasure, and difference."
Luce Irigaray b 1930 Sexual Difference and the Critique of Phallocentrism,10,✅ HIGH YIELD,YES,,"Luce Irigaray, a Belgian-born French psychoanalyst, psycholinguist, and cultural theorist, is one of the foremost figures in radical feminist thought and postmodern feminist philosophy. Deeply influenced by Freud, Lacan, Heidegger, and structuralist theory, Irigaray challenged the phallocentric foundations of Western philosophy, psychoanalysis, and language, arguing that women have historically been constructed as the ""Other"" —reduced to silence, absence, or material exchange between men. Her seminal works Speculum of the Other Woman (1974) and This Sex Which Is Not One (1977) mount incisive critiques of canonical male philosophers such as Plato, Aristotle, Hegel, and Kant, re-reading their texts to expose how femininity is systematically excluded or misrepresented. Drawing on Lévi-Strauss’s theories of exchange, she proposes that in patriarchal economies, women are treated as commodities or signs to be circulated among men. Irigaray famously coined the term “sexual difference” , asserting that the supposed universality of subjectivity is in fact masculinized, while women are relegated to the realm of non-subjectivity and nature. She insists that true sexual difference can only be realized when both men and women are equally allowed to achieve subjectivity—not as oppositional identities, but as distinct modes of being. In The Forgetting of Air in Martin Heidegger (1999) , she critiques Heidegger for privileging “earth” and “being” while neglecting “air”, which she sees as a metaphor for breath, communication, and the maternal—essential elements of feminine subjectivity. Irigaray’s work seeks not only to reveal the exclusion of women in Western metaphysics but to construct new modes of discourse and being where femininity can flourish on its own terms, beyond binary logic and symbolic repression."
Juliet Mitchell b 1940 Reconciling Psychoanalysis and Feminism,10,✅ HIGH YIELD,YES,,"Juliet Mitchell, a British psychoanalyst and leading socialist feminist thinker, is best known for her groundbreaking work Psychoanalysis and Feminism: Freud, Reich, Laing and Women (1974) , which sought to reconcile two seemingly incompatible discourses—psychoanalysis and feminism. In contrast to second-wave feminists like Kate Millett, who dismissed Freud as a misogynist, Mitchell contended that Freud's theories—particularly his asymmetrical view of masculinity and femininity—reflected rather than endorsed patriarchal norms, offering tools to critique the culture that produced them. She argued that abandoning Freud would mean abandoning a crucial analytic framework for understanding how gender operates as a cultural and ideological construct, shaped by the unconscious domain. Mitchell proposed that women's oppression is maintained through four interlocking social structures: production, reproduction, sexuality, and socialization, demonstrating a Marxist-inflected reading of gendered subjectivity. Drawing from Lacanian psychoanalysis, she emphasized the symbolic nature of castration, framing it not as a biological fact but as a fantasy formation that produces rigid gender roles. In her view, the unconscious constructs gender through phantasmatic identifications—thus, femininity becomes both the object of desire and the guarantor of masculine identity. This idea is further elaborated in her co-edited volume Feminine Sexuality (1982)  with Jacqueline Rose, which advances the thesis that gender is narrativized through fantasy rather than determined by anatomy. Mitchell also argued that in primitive kinship societies, the exchange of women served as a mechanism to solidify social cohesion, reducing women to objects of exchange, a theme resonant with Lévi-Strauss’s structuralism. She critiqued the effects of late capitalism on gender relations, highlighting the division between public and private spheres and the idealization of the male-dominated nuclear family. By integrating psychoanalysis with feminism, Mitchell illuminated how ideological and psychic structures work in tandem to sustain women’s subordination, offering a nuanced path forward for feminist theory that does not discard Freudian insights but reinterprets them for emancipatory critique."
